text	intent
Add another song to the Cita RomÃ¡ntica playlist.	AddToPlaylist
add clem burke in my playlist Pre-Party R&B Jams	AddToPlaylist
Add Live from Aragon Ballroom to Trapeo	AddToPlaylist
add Unite and Win to my  night out	AddToPlaylist
Add track to my  Digster Future Hits	AddToPlaylist
add the piano bar to my  Cindy Wilson	AddToPlaylist
Add Spanish Harlem Incident to cleaning the house	AddToPlaylist
add The Greyest of Blue Skies in Indie EspaÃ±ol  my playlist	AddToPlaylist
Add the name kids in the street to the plylist New Indie Mix	AddToPlaylist
add album  radar latino	AddToPlaylist
Add Tranquility to the Latin Pop Rising playlist.	AddToPlaylist
Add d flame to the Dcode2016 playlist.	AddToPlaylist
Add album to my  fairy tales	AddToPlaylist
I need another artist in the New Indie Mix playlist.	AddToPlaylist
Add to playlist i love my neo soul the name national treasure book of secrets	AddToPlaylist
Add the fire and the wind to my  Digster Future Hits playlist.	AddToPlaylist
add Caleigh Peters to my  women of country list	AddToPlaylist
add children of telepathic experiences to the playlist named baladas romÃ¡nticas	AddToPlaylist
add 9th Inning to my  bossa nova dinner playlist	AddToPlaylist
I need another tune in my  legendary guitar solos playlist.	AddToPlaylist
Add Slimm Cutta Calhoun to my  this is prince playlist.	AddToPlaylist
Add Always to dena's  Baroque 50 Spotify Picks playlist.	AddToPlaylist
add song to Sleepytime	AddToPlaylist
Add an album to my list La Mejor MÃºsica Dance 2017	AddToPlaylist
add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist	AddToPlaylist
Add the album to the psychedelic rock playlist	AddToPlaylist
Can you add Esquivando charcos to my playlist entitled the piano bar	AddToPlaylist
Add wiktor coj to the Sleep playlist.	AddToPlaylist
Incorporate time warp into my  fairy tales playlist.	AddToPlaylist
add this MakSim  tune to Trad Folk	AddToPlaylist
add tune to my playlist eletro br	AddToPlaylist
Add this tune to my  Dinnertime Acoustics list	AddToPlaylist
add monsters  this is prince playlist	AddToPlaylist
add a tune in Chill Vibes	AddToPlaylist
Can you add a track to my  Spain Top 50 playlist	AddToPlaylist
put this album by Mike Tramp on Deathcore	AddToPlaylist
Add ross the boss to laurie's  listas de Ã©xitos list	AddToPlaylist
Add some Beatmaster V to the This Is Nicky Jam playlist.	AddToPlaylist
add paulinho da viola to my  Radio Rock song list	AddToPlaylist
add Eef Barzelay to my  Country Coffeehouse	AddToPlaylist
Add this artist to queen playlist	AddToPlaylist
add Olga Souza to virginia's  femme fatale playlist	AddToPlaylist
Add an album by m g sreekumar to my  laidback acoustic playlist.	AddToPlaylist
Add this album to my  spotify orchestra cello playlist	AddToPlaylist
I want to put goldy mcjohn on my  Rock Party playlist	AddToPlaylist
Add this song to noreen's  fresh finds six strings	AddToPlaylist
A Shawnna to the Warm Hearts Feel Good playlist.	AddToPlaylist
Add this tune to Rock Save The Queen	AddToPlaylist
Add Firehouse to my  acoustic soul list.	AddToPlaylist
add this david cole  track to my  Totally Stress Free	AddToPlaylist
